tier,country,language,language_basis,name,domain,catalogue_sources_in_country,catalogue_sources_in_language,flags
T2,az,az,export,Q12837927,butov.az,4,2,
T2,az,az,export,Q16378554,edebiyyatqazeti.az,4,2,
T2,az,az,export,Q16415703,abiturient.az,4,2,
T2,az,en,export,Q4467669,turkologiya.org,4,2327,
T2,az,az,export,Q65279892,modern.az,4,2,
T2,az,en,export,Q90105925,azerbaijantoday.az,4,2327,
T2,az,az,export,Qafqaz TV,qafqaztv.az,4,2,
T2,az,ru,export,Qafqazinfo,qafqazinfo.az,4,38,
T2,az,tr,export,Show TV,showtv.com.tr,4,26,
T2,az,az,export,Space TV,spacetv.az,4,2,
T2,az,tr,export,Star TV,startv.com.tr,4,26,
T2,az,,,TMB TV,tmb.tv,4,,
T2,az,en,export,Trend News Agency,trend.az,4,2327,
T2,az,en,export,Trend News Agency,az.trend.az,4,2327,
T2,az,en,export,Trend News Agency,ru.trend.az,4,2327,
T2,az,az,export,Xalq qəzeti,xalqqazeti.com,4,2,
T2,az,az,export,Yeni Müsavat,musavat.com,4,2,
T2,ba,bs,export,A Priori,casopisapriori.com,4,3,
T2,ba,en,export,Acta Medica Academica,ama.ba,4,2327,
T2,ba,,,Al Jazeera Balkans,balkans.aljazeera.com,4,,subdomain_of_catalogue_domain
T2,ba,,,Alternativna TV,atvbl.com,4,,
T2,ba,,,AXN Spin,axnspin.com,4,,
T2,ba,,,BIR TV,tv.bir.ba,4,,
T2,ba,sr,export,BN Radio,radiobn.net,4,10,
T2,ba,,,BN Televizija,rtvbn.tv,4,,
T2,ba,sr,export,Bobar Radio,radiobobar.com,4,10,
T2,ba,en,export,Bosnian Journal of Basic Medical Sciences,bjbms.org,4,2327,
T2,ba,,,Catholic Press Agency of the Bishops' Conference of Bosnia and Herzegovina,ktabkbih.net,4,,
T2,ba,,,Center for Investigative Reporting,cin.ba,4,,
T2,ba,hr,export,Crkva na kamenu,cnak.ba,4,9,
T2,ba,,,Dani,bhdani.ba,4,,
T2,ba,bs,export,Dnevni avaz,avaz.ba,4,3,
T2,ba,,,Economics (Bijeljina),oikosinstitut.org,4,,
T2,ba,,,Electronics,els-journal.net,4,,
T2,ba,,,Eon TV,eon.tv,4,,
T2,ba,en,export,Epiphany,epiphany.ius.edu.ba,4,2327,deep_host
T2,ba,,,Federal News Agency,fena.ba,4,,
T2,ba,bs,export,Federalni Radio,rtvfbih.ba,4,3,
T2,ba,sr,export,Filolog,doisrpska.nub.rs,4,10,
T2,ba,sr,export,Filolog,filolog.rs.ba,4,10,
T2,ba,bs,export,Geodetski Glasnik,glasnik.suggsbih.ba,4,3,
T2,ba,sr,export,Glas Srpske,glassrpske.com,4,10,
T2,ba,,,Godišnjak Centra za balkanološka ispitivanja,anubih.ba,4,,
T2,ba,,,Godišnjak Centra za balkanološka ispitivanja,godisnjak.anubih.ba,4,,
T2,ba,en,export,Hercegovina,hercegovina.ff.sum.ba,4,2327,deep_host
T2,ba,en,export,Historijska Misao,drustvohistoricaratk.com,4,2327,
T2,ba,en,export,Human Research in Rehabilitation,human.ba,4,2327,
T2,ba,en,export,Journal of Health Sciences,jhsci.ba,4,2327,
T2,ba,hr,export,Katolički tjednik,nedjelja.ba,4,9,
T2,ba,bs,export,"Medicinski glasnik : official publication of the Medical Association of Zenica-Doboj Canton, Bosnia and Herzegovina",ljkzedo.com.ba,4,3,
T2,ba,bs,export,"Medicinski glasnik : official publication of the Medical Association of Zenica-Doboj Canton, Bosnia and Herzegovina",ljkzedo.ba,4,3,
T2,ba,bs,export,Naša riječ,nasarijec.ba,4,3,
T2,ba,,,Nova (Bosnia and Herzegovina),novabh.tv,4,,
T2,ba,,,NTV Hayat,hayat.ba,4,,
T2,ba,,,O Kanal,okanal.oslobodjenje.ba,4,,
T2,ba,,,ONASA,onasa.com.ba,4,,
T2,ba,bs,export,Oslobođenje,oslobodjenje.ba,4,3,
T2,ba,en,export,Periodicals of Engineering and Natural Sciences (PEN),pen.ius.edu.ba,4,2327,deep_host
T2,ba,sr,export,Pink Soap,pink.rs,4,10,
T2,ba,,,Plenum,plenum.ba,4,,
T2,ba,sr,export,Q124369090,bijeljina.org,4,10,
T2,ba,,,Q139620581,abrasradio.info,4,,
T2,ba,bs,export,Radio 8,radio8.ba,4,3,
T2,ba,,,Radio and Television of Bosnia and Herzegovina,bhrt.ba,4,,
T2,ba,bs,export,Radio BIR,bir.ba,4,3,
T2,ba,,,Radio Brčko District,radiobrcko.ba,4,,
T2,ba,bs,export,Radio M,radiom.ba,4,3,
T2,ba,bs,export,Radio Mix,radiomix.ba,4,3,
T2,ba,hr,export,Radio Rama,radio-rama.info,4,9,
T2,ba,bs,export,Radio Ritam Sarajevo,radioritam.ba,4,3,
T2,ba,bs,export,Radio Sarajevo,radiosarajevo.ba,4,3,
T2,ba,en,export,"Radio Station ""Mir"" Međugorje",radio-medjugorje.com,4,2327,
T2,ba,sr,export,Radio Television of Republika Srpska,rtrs.tv,4,10,
T2,ba,,,Radio-Television of the Federation of Bosnia and Herzegovina,federalna.ba,4,,
T2,ba,,,Radiotelevision of Herzeg-Bosnia,rtv-hb.com,4,,
T2,ba,en,export,Scripta Medica,scriptamedica.com,4,2327,
T2,ba,sr,export,Sportske Nauke i Zdravlje,siz-au.com,4,10,
T2,ba,sr,export,SRNA,srna.rs,4,10,
T2,ba,sr,export,Srpski Istorijski Časopis,srpskiistorijskicasopis.com,4,10,
T2,ba,,,Televizija 5,televizija5.ba,4,,
T2,ba,,,TVSA,tvsa.ba,4,,
T2,ba,,,Veterinaria,veterinaria-sarajevo.com,4,,
T2,bb,,,Caribbean News Agency,cananewsonline.com,3,,
T2,bb,,,CaribVision,caribvision.tv,3,,
T2,bb,,,CBC Radio,947fm.bb,3,,
T2,bb,,,CBC TV 8,cbc.bb,3,,
T2,bb,,,Gone Viral TV,goneviraltv.com,3,,
T2,bb,,,Official Gazette,governmentprintery.gov.bb,3,,
T2,bh,ar,export,Akhbar Al Khaleej,akhbar-alkhaleej.com,3,51,
T2,bh,ar,export,Al Ayam,alayam.com,3,51,
T2,bh,ar,export,Al Bilad,albiladpress.com,3,51,
T2,bh,ar,export,Al-Waqt,alwaqt.com,3,51,
T2,bh,ar,export,Al-Wasat,alwasatnews.com,3,51,
T2,bh,ar,export,Al-Watan,alwatannews.net,3,51,
T2,bh,,,Alarab News Channel,alarabtv.net,3,,
T2,bh,ar,export,Bahrain News Agency,bna.bh,3,51,
T2,bh,en,export,Gulf Daily News,gulf-daily-news.com,3,2327,
T2,bi,,,BeTV,betvburundi.com,2,,
T2,bi,,,Radio Publique Africaine,rpa-radiyoyacu.org,2,,
T2,bj,,,Agence Bénin Presse,abp.gouv.bj,4,,
T2,bj,fr,export,Banouto,banouto.bj,4,205,
T2,bj,fr,export,Boulevard des Infos,boulevard-des-infos.com,4,205,
T2,bj,fr,export,Bénin Intelligent,beninintelligent.com,4,205,
T2,bj,fr,export,Fraternité,fraternitebj.info,4,205,
T2,bj,fr,export,Islam Hebdo,islamhebdonews.net,4,205,
T2,bj,fr,export,L'autre vision,lautrevisionmag.com,4,205,
T2,bj,fr,export,L'Événement Précis,levenementprecis.com,4,205,
T2,bj,fr,export,La Croix du Bénin,lacroixdubenin.com,4,205,
T2,bj,fr,export,La Gazette du Golfe,golfegroupe.com,4,205,
T2,bj,fr,export,La Nation,elodia.intnet.bj,4,205,
T2,bj,fr,export,La Nation,lanation.bj,4,205,
T2,bj,fr,export,Le Matinal,lematinal.bj,4,205,
T2,bj,fr,export,Matin Libre,matinlibre.com,4,205,
T2,bj,,,Q108117905,radiotokpa.info,4,,
T2,bj,fr,export,Q109312593,cappfm.com,4,205,
T2,bj,,,Q139504013,infos229.groupecrytalnews.com,4,,
T2,bj,,,Q139816904,africawebradio.bj,4,,
T2,bj,,,Q78994737,soleilfmbenin.com,4,,
T2,bj,,,Écran Bénin,ecranbenin.net,4,,
T2,bn,en,export,Borneo Bulletin,borneobulletin.com.bn,2,2327,
T2,bn,en,export,Brunei Direct,brudirect.com,2,2327,
T2,bn,,,Kristal-Astro,kristalastro.com,2,,
T2,bn,ms,export,Media Permata,mediapermata.com.bn,2,4,
T2,bn,ms,export,Pelita Brunei,pelitabrunei.gov.bn,2,4,
T2,bn,ms,export,Radio Televisyen Brunei,rtb.gov.bn,2,4,
T2,bn,,,UBD FM,ubdfm.blogspot.com,2,,
T2,bs,en,export,International Journal of Bahamian Studies,journals.sfu.ca,2,2327,
T2,bs,,,The Tribune,tribune242.com,2,,
T2,bs,en,export,ZNS-1,znsbahamas.com,2,2327,
T2,bt,,,Bhutan News Service,bhutannewsservice.com,2,,
T2,bt,en,export,Bhutan Times,bhutantimes.bt,2,2327,
T2,bt,en,export,Kuensel,kuensel.com.bt,2,2327,
T2,bt,dz,export,The Bhutanese,thebhutanese.bt,2,0,
T2,bw,,,Gabz FM,gabzfm.com,3,,
T2,bw,en,export,The Patriot on Sunday,thepatriot.co.bw,3,2327,
T2,bw,,,Yarona FM,yaronafm.co.bw,3,,
